	rank	word	count	frequency
0	1	to	5259	0.03182816783775442
1	2	the	5014	0.030345395234550418
2	3	and	4738	0.028675006506043054
3	4	of	4390	0.026568864196185947
4	5	I	3181	0.019251835309354783
5	6	a	3057	0.018501370808141328
6	7	was	2387	0.014446441648358965
7	8	her	2380	0.01440407671683885
8	9	in	2177	0.013175493702755536
9	10	it	2141	0.012957616912080663
10	11	not	2127	0.012872887049040434
11	12	be	1986	0.012019536285563848
12	13	she	1778	0.010760692606109023
13	14	that	1743	0.010548867948508452
14	15	you	1734	0.010494398750839733
15	16	had	1606	0.009719725717329073
16	17	as	1397	0.008454829904799947
17	18	he	1368	0.008279318045645188
18	19	for	1343	0.008128014718787636
19	20	have	1307	0.007910137928112763
20	21	is	1242	0.007516749278283131
21	22	with	1233	0.007462280080614413
22	23	Mr	1153	0.006978109434670249
23	24	very	1152	0.006972057301595947
24	25	but	1151	0.006966005168521645
25	26	his	1088	0.0065847207848406175
26	27	at	1010	0.006112654405045058
27	28	s	937	0.005670848690621009
28	29	so	925	0.005598223093729385
29	30	Emma	867	0.005247199375419866
30	31	all	852	0.005156417379305336
31	32	could	826	0.0049990619193734835
32	33	would	815	0.004932488455556161
33	34	been	759	0.004593569003395246
34	35	him	758	0.0045875168703209445
35	36	Mrs	699	0.004230441018937124
36	37	on	688	0.004163867555119802
37	38	any	684	0.004139659022822594
38	39	no	624	0.0037765310383644714
39	40	my	619	0.0037462703729929615
40	41	do	594	0.0035949670461354103
41	42	Miss	592	0.0035828627799868065
42	43	were	591	0.003576810646912504
43	44	by	582	0.003522341449243786
44	45	must	574	0.00347392438464937
45	46	will	566	0.0034255073200549534
46	47	me	564	0.003413403053906349
47	48	She	562	0.0034012987877577454
48	49	or	561	0.003395246654683443
49	50	which	559	0.0033831423885348393
50	51	from	550	0.003328673190866121
51	52	Harriet	506	0.003062379335596831
52	53	said	484	0.002929232407962186
53	54	much	479	0.002898971742590676
54	55	are	470	0.002844502544921958
55	56	more	465	0.0028142418795504475
56	57	this	457	0.002765824814956031
57	57	an	457	0.002765824814956031
58	58	such	445	0.0026931992180644067
59	59	He	441	0.0026689906857671987
60	60	Weston	438	0.0026508342865442925
61	61	what	434	0.0026266257542470845
62	62	them	432	0.0026145214880984803
63	63	am	422	0.00255400015735546
64	64	there	420	0.002541895891206856
65	65	than	419	0.002535843758132554
66	66	one	415	0.0025116352258353456
67	67	It	402	0.0024329574958694192
68	68	every	398	0.0024087489635722112
69	68	thing	398	0.0024087489635722112
70	69	they	394	0.002384540431275003
71	70	Knightley	389	0.002354279765903493
72	71	Elton	386	0.0023361233666805868
73	72	think	380	0.0022998105682347746
74	72	if	380	0.0022998105682347746
75	73	The	369	0.002233237104417452
76	74	should	367	0.002221132838268848
77	75	being	356	0.0021545593744515252
78	76	little	354	0.0021424551083029215
79	77	never	347	0.002100090176782807
80	78	your	344	0.002081933777559901
81	79	good	341	0.0020637773783369947
82	80	know	338	0.0020456209791140886
83	81	did	335	0.0020274645798911825
84	82	only	329	0.0019911517814453703
85	83	might	322	0.0019487868499252561
86	84	You	315	0.0019064219184051418
87	84	well	315	0.0019064219184051418
88	85	Woodhouse	314	0.00190036978533084
89	86	when	313	0.0018943176522565378
90	87	say	308	0.0018640569868850277
91	88	Jane	302	0.0018277441884392155
92	89	own	301	0.0018216920553649134
93	90	their	297	0.0017974835230677051
94	91	But	293	0.0017732749907704971
95	92	who	284	0.0017188057931017788
96	93	can	280	0.0016945972608045706
97	94	herself	279	0.0016885451277302685
98	95	now	273	0.0016522323292844563
99	96	time	272	0.0016461801962101544
100	97	quite	269	0.0016280237969872483
101	98	we	268	0.0016219716639129462
102	99	how	267	0.001615919530838644
103	100	great	263	0.0015917109985414358
