	rank	word	count	frequency
0	1	the	3290	0.03766068750786983
1	2	to	2852	0.03264689385180691
2	3	and	2804	0.03209743701278632
3	4	of	2675	0.030620771757918476
4	5	a	1586	0.018154969722638765
5	6	in	1404	0.01607161254135235
6	7	was	1332	0.015247427282821462
7	8	had	1176	0.013461692556004533
8	9	her	1156	0.01323275220641262
9	10	I	1125	0.012877894664545152
10	11	be	965	0.011046371867809842
11	12	not	951	0.010886113623095502
12	13	it	870	0.009958905207248252
13	14	that	866	0.009913117137329869
14	15	she	819	0.009375107315788871
15	16	as	798	0.009134719948717361
16	17	he	738	0.00844789889994162
17	18	for	717	0.008207511532870112
18	19	with	689	0.007886995043441432
19	20	his	624	0.007142938907267711
20	21	you	601	0.00687965750523701
21	22	have	589	0.006742293295481862
22	23	but	556	0.006364541718655204
23	24	all	534	0.006112707334104099
24	25	at	532	0.006089813299144908
25	26	Anne	496	0.0056777206698794625
26	26	been	496	0.0056777206698794625
27	27	s	489	0.005597591547522293
28	28	him	466	0.005334310145491592
29	29	could	445	0.005093922778420083
30	30	by	436	0.0049908996211037214
31	31	were	426	0.004876429446307765
32	31	very	426	0.004876429446307765
33	32	which	421	0.004819194358909786
34	33	is	415	0.004750512254032212
35	34	on	398	0.004555912956879085
36	35	would	350	0.004006456117858492
37	36	or	345	0.003949221030460514
38	37	so	339	0.0038805389255829395
39	38	She	327	0.003743174715827791
40	39	they	324	0.003708833663389004
41	40	no	317	0.0036287045410318343
42	41	from	305	0.0034913403312766857
43	42	Captain	296	0.0033883171739603245
44	43	Mrs	291	0.0033310820865623462
45	44	Elliot	287	0.0032852940166439634
46	45	their	272	0.003113588754450028
47	46	more	270	0.003090694719490837
48	46	them	270	0.003090694719490837
49	47	Mr	254	0.0029075424398173058
50	48	than	246	0.00281596629998054
51	49	an	243	0.002781625247541753
52	50	this	239	0.00273583717762337
53	51	must	237	0.002712943142664179
54	52	any	232	0.0026557080552662006
55	53	He	224	0.002564131915429435
56	54	one	223	0.002552684897949839
57	55	being	220	0.002518343845511052
58	56	The	219	0.0025068968280314565
59	57	Wentworth	218	0.0024954498105518607
60	58	there	216	0.0024725557755926695
