	rank	word	count	frequency
0	1	the	4523	0.034286450673903485
1	2	to	4342	0.032914386209615065
2	3	of	3939	0.029859458148243607
3	4	and	3677	0.02787337588501948
4	5	her	2175	0.01648751497142164
5	6	I	2098	0.015903819039100046
6	7	a	2039	0.015456571506541943
7	8	in	1960	0.014857714640913294
8	9	was	1871	0.014183053108749375
9	10	that	1576	0.011946815445958853
10	11	not	1487	0.011272153913794934
11	12	she	1408	0.010673297048166285
12	13	it	1346	0.010203308115647599
13	14	be	1275	0.009665094983247169
14	15	his	1206	0.009142042784153792
15	16	you	1205	0.009134462317500265
16	17	as	1179	0.008937370184508558
17	18	had	1154	0.008747858518170379
18	19	with	1112	0.008429478918722236
19	19	he	1112	0.008429478918722236
20	20	for	1095	0.008300610985612274
21	21	is	920	0.0069740293212450155
22	22	have	872	0.006610166921875711
23	23	Mr	807	0.0061174365893964435
24	24	at	784	0.005943085856365318
25	25	him	765	0.005799056989948302
26	26	but	718	0.005442775057232523
27	27	by	709	0.0053745508573507786
28	28	on	704	0.005336648524083143
29	29	s	677	0.005131975924437909
30	30	all	647	0.004904561924832093
31	31	Elizabeth	645	0.004889400991525039
32	32	so	596	0.004517958125502206
33	33	my	593	0.004495216725541624
34	34	which	573	0.00434360739247108
35	35	were	564	0.004275383192589336
36	36	been	535	0.0040555496596370475
37	37	could	521	0.003949423126487666
38	38	from	503	0.003812974726724177
39	39	very	489	0.0037068481935747964
40	40	they	483	0.0036613653936536333
41	41	would	479	0.0036310435270395245
42	42	no	463	0.0035097560605830895
43	43	me	441	0.0033429857942054914
44	44	them	439	0.003327824860898437
45	45	this	430	0.003259600661016692
46	46	Darcy	429	0.003252020194363165
47	47	their	419	0.003176215527827893
48	47	what	419	0.003176215527827893
49	48	will	418	0.003168635061174366
50	49	said	406	0.0030776694613320397
51	50	your	403	0.003054928061371458
52	51	or	395	0.0029942843281432407
53	52	such	381	0.00288815779499386
54	53	are	375	0.002842674995072697
55	53	an	375	0.002842674995072697
56	54	Mrs	353	0.0026759047286950984
57	55	Bennet	338	0.0025621977288921905
58	56	more	333	0.0025242953956245546
59	57	am	332	0.0025167149289710275
60	58	much	331	0.0025091344623175004
61	59	do	325	0.0024636516623963373
62	60	She	324	0.0024560711957428098
63	61	But	321	0.0024333297957822284
64	61	must	321	0.0024333297957822284
65	62	The	316	0.0023954274625145925
66	63	any	314	0.002380266529207538
67	64	Miss	313	0.0023726860625540107
68	65	Bingley	309	0.002342364195939902
69	66	when	304	0.002304461862672266
70	67	Jane	303	0.002296881396018739
71	67	than	303	0.002296881396018739
72	68	there	300	0.0022741399960581575
73	69	who	290	0.0021983353295228856
74	70	if	280	0.0021225306629876137
75	71	one	278	0.002107369729680559
76	72	did	260	0.00197092132991707
77	73	It	257	0.001948179929956488
78	74	should	256	0.001940599463302961
79	75	has	251	0.001902697130035325
80	76	know	242	0.0018344729301535802
81	77	He	238	0.0018041510635394716
82	78	other	236	0.0017889901302324171
