	rank	word	count	frequency
0	1	to	4138	0.033366124272283054
1	2	the	4030	0.032495282942798624
2	3	of	3674	0.029624731893757358
3	4	and	3414	0.027528262026480028
4	5	her	2430	0.019593929913399668
5	6	a	2097	0.01690883581415601
6	7	I	1992	0.016062184521601703
7	8	in	1960	0.015804157461013723
8	9	was	1848	0.014901062748955796
9	10	it	1582	0.01275621280781822
10	11	she	1334	0.010756503088261381
11	12	be	1315	0.010603299521037269
12	13	that	1307	0.010538792755890274
13	14	for	1256	0.010127562128078181
14	15	not	1238	0.009982421906497443
15	16	as	1190	0.009595381315615475
16	17	you	1094	0.008821300133851538
17	18	with	1017	0.008200422519311712
18	19	had	969	0.007813381928429744
19	20	his	940	0.007579544904771888
20	21	he	906	0.00730539115289716
21	22	at	819	0.0066038800819235915
22	23	have	813	0.006555500008063346
23	24	by	760	0.006128142688964505
24	25	is	749	0.006039445886887387
25	26	s	698	0.005628215259075296
26	27	on	687	0.005539518456998177
27	28	Elinor	684	0.005515328420068055
28	29	all	659	0.005313744778983696
29	30	him	634	0.005112161137899337
30	31	so	618	0.004983147607605347
31	32	but	600	0.004838007386024609
32	33	which	599	0.004829944040381235
33	34	could	569	0.004588043671080005
34	35	Marianne	566	0.004563853634149882
35	36	my	551	0.004442903449499267
36	37	from	542	0.004370333338708897
37	38	Mrs	530	0.004273573190988405
38	39	would	507	0.004088116241190795
39	40	no	496	0.003999419439113677
40	41	very	493	0.003975229402183554
41	42	their	463	0.0037333290328823237
42	43	them	462	0.003725265687238949
43	44	been	440	0.0035478720830847137
44	45	were	437	0.0035236820461545903
45	46	me	433	0.0034914286635810933
46	47	they	430	0.00346723862665097
47	48	or	422	0.0034027318615039753
48	48	any	422	0.0034027318615039753
49	49	this	409	0.0032979083681401087
50	50	more	408	0.0032898450224967345
51	51	said	397	0.0032011482204196166
52	52	what	376	0.0030318179619087554
53	53	than	365	0.0029431211598316374
54	54	will	361	0.00291086777725814
55	55	every	360	0.0029028044316147658
56	56	your	355	0.0028624877033978937
57	57	an	352	0.0028382976664677708
58	58	such	345	0.0027818542469641504
59	59	do	310	0.0024996371494460483
60	60	one	306	0.0024673837668725508
61	61	But	289	0.002330306890935187
62	62	much	288	0.0023222435452918124
63	62	must	288	0.0023222435452918124
64	63	only	284	0.002289990162718315
65	64	sister	282	0.002273863471431566
66	65	own	271	0.0021851666693544487
67	66	am	270	0.002177103323711074
68	67	who	263	0.0021206599042074537
69	68	when	262	0.0021125965585640795
70	68	Edward	262	0.0021125965585640795
71	69	mother	259	0.002088406521633956
72	70	She	256	0.0020642164847038333
73	71	The	255	0.002056153139060459
74	71	herself	255	0.002056153139060459
75	72	if	254	0.0020480897934170845
76	73	Dashwood	252	0.002031963102130336
77	74	are	247	0.001991646373913464
78	75	time	237	0.0019110129174797206
79	76	Jennings	235	0.001894886226192972
80	77	know	231	0.0018626328436194745
81	78	should	229	0.0018465061523327258
82	79	might	215	0.001733619313325485
83	79	can	215	0.001733619313325485
84	79	Willoughby	215	0.001733619313325485
85	80	did	211	0.0017013659307519877
86	81	there	210	0.0016933025851086133
87	81	now	210	0.0016933025851086133
88	82	think	209	0.001685239239465239
89	83	Miss	208	0.0016771758938218645
90	84	some	206	0.0016610492025351158
91	85	though	204	0.0016449225112483673
92	86	He	203	0.0016368591656049929
93	87	other	202	0.0016287958199616185
94	87	has	202	0.0016287958199616185
95	88	before	201	0.0016207324743182441
96	89	well	191	0.0015400990178845006
97	90	It	190	0.0015320356722411262
98	91	too	188	0.0015159089809543777
99	92	how	186	0.001499782289667629
100	93	Lucy	185	0.0014917189440242546
101	94	may	184	0.0014836555983808802
102	94	thing	184	0.0014836555983808802
103	94	never	184	0.0014836555983808802
104	95	soon	180	0.0014514022158073829
105	95	without	180	0.0014514022158073829
106	95	we	180	0.0014514022158073829
107	95	after	180	0.0014514022158073829
108	96	Mr	178	0.0014352755245206341
109	97	see	174	0.0014030221419471366
110	98	Colonel	173	0.0013949587963037623
111	99	nothing	170	0.0013707687593736393
112	100	ever	169	0.001362705413730265
113	101	good	167	0.0013465787224435162
114	102	being	164	0.0013223886855133933
115	103	John	163	0.001314325339870019
116	104	out	162	0.0013062619942266446
117	105	say	160	0.0012901353029398958
118	106	house	158	0.001274008611653147
119	106	first	158	0.001274008611653147
120	106	little	158	0.001274008611653147
121	107	most	156	0.0012578819203663985
122	108	great	149	0.0012014385008627779
123	109	day	148	0.0011933751552194037
124	110	two	145	0.0011691851182892806
125	110	however	145	0.0011691851182892806
126	111	Brandon	144	0.0011611217726459062
127	112	make	143	0.0011530584270025318
128	112	again	143	0.0011530584270025318
129	113	And	142	0.0011449950813591575
130	113	about	142	0.0011449950813591575
131	114	You	139	0.0011208050444290346
132	115	made	138	0.0011127416987856602
133	116	its	136	0.0010966150074989114
134	117	sure	134	0.0010804883162121627
135	118	give	129	0.001040171587995291
136	118	Ferrars	129	0.001040171587995291
137	119	heart	127	0.0010240448967085423
138	120	then	126	0.001015981551065168
139	121	shall	125	0.0010079182054217935
140	122	even	122	0.0009837281684916706
141	122	always	122	0.0009837281684916706
142	123	man	121	0.0009756648228482962
143	124	room	119	0.0009595381315615475
144	125	thought	116	0.0009353480946314245
145	126	away	115	0.0009272847489880501
146	126	into	115	0.0009272847489880501
147	127	himself	114	0.0009192214033446758
148	127	up	114	0.0009192214033446758
149	127	saw	114	0.0009192214033446758
150	128	Sir	113	0.0009111580577013014
151	129	dear	109	0.000878904675127804
152	130	while	107	0.0008627779838410553
